"maggioranza","n. f. majority"
"malinteso","n. m. misunderstanding"
"mancia","n. f. <-ce> tip"
"manciata","n. f. (pugno) handful; (piccola quantità) couple"
"mangiare","n. m. food"
"matita","n. f. pencil"
"matrigna","n. f. stepmother"
"media","n. f. average, medium"
"mensola","n. f. shelf"
"merce","n. f. (prodotto) goods <span class=number""><acronym title=""plurale"">pl</acronym></span>; commodity"""
"mestiere","n. m. (lavoro) job, (lavoro manuale) trade; (pratica) experience; money-spinner"
"metà","n. f. (parte) half; (punto di mezzo) middle"
"micio","n. m. <-ci, -ce> puss"
"minore","n. mf. (più giovane) youngest; (minorenne) minor"
"mortale","n. m. mortal"
"motivo","n. m. (ragione) reason"
"mucchio","n. m. <-cchi> (di carte, pietre, stracci) heap; (grande quantità) a lot"
