"offerta","n. f. offer"
"oggetto","n. m. (cosa) object; (materia, argomento) subject (matter)"
"omaggio","n. m. <-ggi> (offerta) gift; (segno di rispetto) homage, tribute"
"ombra","n. f. (zona non assolata, fantasma) shade; (oscurità) darkness; (sagoma) shadow"
"ombrello","n. m. umbrella"
"onda","n. f. (del mare) wave"
"onestà","n. f. honesty"
"opera","n. f. (attività, prodotto) work; (musica) opera; (teatro) play"
"essere orgoglioso","to be proud"
"orgoglioso","adj. proud"
"origine","n. f. origin"
"ospedale","n. m. hospital"
"ospite","n. mf. (persona che ospita) host; (persona ospitata) guest"
"ostacolo","n. m. obstacle"
