"padella","n. f. (pentola) frying pan; (per malati) bedpan"
"paesaggio","n. m. <-ggi> GEOG landscape; (panorama) view; (pittura) landscape (painting), PHOTO landscape (photograph)"
"parere","n. m. (opinione) opinion; (di esperto) advice"
"partita","n. f. (incontro sportivo, gioco) game; COMM entry; (di caccia) party; MUS partita"
"passo","n. m. (gener) step; (andatura) pace; (impronta) footprint; TECH thread; AUTO wheelbase; film gauge; MUS (brano) passage; (valico) pass; (stretto di mare) strait"
"pazzo (-a)","n. m. MED madman, madwoman; (persona insensata) crazy person"
"pelle","n. f. (cute) skin; (pellame) leather; (buccia) peel"
"pera","n. f. (frutto) pear; (di eroina) fix"
"percorso","n. m. (tragitto) route; (tempo di percorrenza) journey; SPORTS (nell'equitazione) round; COMPUT path"
"perdono","n. m. REL forgiveness; (scusa) pardon"
"peso","n. m. (gener) weight, (cosa pesante) heavy object; SPORTS (in atletica) shot; (incombenza, angoscia) burden vita"
"petto","n. m. ANAT chest, (di donna) bust, pl. (organi) breasts, FOOD breast; (di abito) front"
"piacere","n. m. (gener) pleasure; (favore) favor"
"piano","n. m. (livello) level, MATH plane; (superficie) surface; (di edificio) floor; (progetto) plan; MUS piano"
"pianta","n. f. BOT plant; (del piede) sole; (di edificio, città) layout"
"pietra","n. f. stone"
"pioggia","n. f. <-gge> METEO rain; (grande quantità) torrent"
"polemica","n. f. <-che> (contrasto di opinioni) argument, (attacco) attack"
"polvere","n. f. (sui mobili, in strada) dust; (sostanza sminuzzata) powder"
"possesso","n. m. (di bene, facoltà) possession; (padronanza) command; pl. (proprietà terriera) property"
"posta","n. f. (servizio) postal service, (ufficio postale) post office; (corrispondenza) mail; (nei giochi) stake"
"potere","n. m. (gener) power"
"preavviso","n. m. (avviso preventivo) warning; LAW (comunicazione, periodo) notice"
"prefisso","n. m. LING prefix; TELEC (prefisso (telefonico)) area code"
"pressione","n. f. pressure"
"prigione","n. f. (carcere, ambiente opprimente) prison; (stanza buia) dungeon"
"principio","n. m. <-i> (inizio) beginning; (origine) origin; pl. (concetto fondamentale) principles; (concetto, norma etica) principle"
"profondità","n. f. <-> depth"
"proposta","n. f. proposal"
"proprietà","n. f. <-> (diritto) ownership, (bene, caratteristica) property; (di linguaggio) correctness"
"punteggiatura","n. f. punctuation"
"puntura","n. f. (iniezione) injection; (di zanzara) bite, (di ago, spina) prick; (fitta) sharp pain"
