"sabbia","n. f. <-ie> sand"
"salita","n. f. (azione) climb; (strada) hill"
"salotto","n. m. (stanza) living room; (mobilio) living room furniture; (letterario, artistico) salon"
"sasso","n. m. (pietra) stone, (masso) rock, (ciottolo) pebble"
"scaffale","n. m. set of shelves"
"scambio","n. m. <-i> (di persona) case of mistaken identity; (di doni, cortesie, idee) exchange; COMM trade; pl. RAIL switches"
"scatola","n. f. (di biscotti, delle scarpe) tin, (di carne, piselli) can"
"sciocchezza","n. f. (scemenza) stupid thing"
"scontro","n. m. AUTO, RAIL, AVIAT crash; MIL, SPORTS clash; (diverbio) confrontation"
"scrittura","n. f. (attività) writing; REL scripture; LAW document; THEAT, film, MUS engagement"
"sentimento","n. m. (il sentire) feeling; pl. (modo di pensare) sentiments"
"sfigato","n. m. unlucky person"
"sicurezza","n. f. safety, (certezza) certainty"
"silenzio","n. m. <-i> silence"
"smarrimento","n. m. (di oggetto) loss; (mancanza di lucidità) confusion"
"spavento","n. m. fright"
"spiegazione","n. f. explanation"
"spina","n. f. BOT thorn; ZOOL (di istrice) spine, (di pesce) bone; ELEC plug; TECH (di botte) tap"
"spreco","n. m. <-chi> waste"
"squilibrato","n. m. loony"
"stampato","n. m. (opuscolo) leaflet; (modulo) form"
"straccio","n. m. <-cci> (cencio) cloth; pl. rags"
"stranezza","n. f. strangeness"
"stupidaggine","n. f. stupidity"
"suggerimento","n. m. suggestion"
"svantaggio","n. m. <-ggi> (condizione) disadvantage"
"sviluppo","n. m. development"
"svolta","n. f. (azione) turn; (curva) bend; (cambiamento) turning point"
