"taccuino","n. m. notebook"
"tascabile","n. m. paperback"
"tenerezza","n. f. tenderness"
"tensione","n. f. tension"
"tessera","n. f. (documento) membership card; (di mosaico) tile; (del domino) domino"
"tetto","n. m. (di edificio, vettura) roof; (casa) home; (limite massimo) ceiling"
"tostapane","n. m. <-> toaster"
"tradimento","n. m. (gener) betrayal; (di coniuge) infidelity"
"traduzione","n. f. (di scritto, discorso) translation; (di detenuti) transfer"
"tragitto","n. m. journey"
"tramite","n. m. means"
"tramonto","n. m. ASTRO (del sole) sunset, (di astri) setting; (di civiltà) decline"
