"benvenuto, benvenuta","adj. welcome","benvenuto, benvenuta"
"giusto, giusta","adj. just; true; right","giusto"
"va bene","inter. all right; okay","va bene"
"pomeriggio, pomeriggi","m. afternoon","pomeriggio, pomeriggi"
"cane, cani","m. dog","cane, cani"
"amore, amori","m. love","amore, amori"
"zio, zii","m. uncle","zio, zi"
"zia, zie","f. aunt","zia, zie"
"hotel","m. inv. hotel","hotel"
"terra, terre","f. earth; ground; land","terra, terre"
"odore, odori","m. smell; scent; odor; pl. (aromatic) herbs","odore, odori"
"fame, fami","f. hunger; desire","fame, fami"
"sole, soli","m. sun","sole, soli"
"piede, piedi","m. foot","piede, piedi"
"naso, nasi","m. nose","naso, nasi"
"dito, diti","m. finger, toe","dito, diti"
"dita, dite","f. finger, toe","dita, dite"
"gufo, gufi","m. owl","gufo, gufi"
"uscita, uscite","f. exit","uscita, uscite"
"casa, case","f. house; home","casa, case"
"gatto, gatti","m. cat","gatto, gatti"
"gatta, gatte","f. cat","gatta, gatte"
"aglio, agli","m. garlic","aglio, agli"
"virtù","f. inv. virtue","virtù"
"qualità","f. inv. quality;","qualità"
"penna, penne","f. feather; pen","penna, penne"
"anno, anni","m. year","anno, anni"
"occhio, occhi", "m. eye","occhio, occhi"
"rana, rane","f. frog","rana, rane"
"perché","adv. why; conj. because","perché"
"lingua, lingue","f. tounge, language","lingua, lingue"
"estate, estati","f. summer","estate, estati"
"legno, legni","m. wood","legno, legni"
"scarpa, scarpe","f. shoe","scarpa, scarpe"
"però","conj. but; nevertheless","però"
"traghetto, traghetti","m. ferry","traghetto, traghetti"
"negozio, negozi","m. store","negozio, negozi"
"cultura, culture","f. culture","cultura, culture"
"libertà","f. inv. freedom","libertà"
"negligente, negligenti","adj. negligent","negligente, negligenti"
"gentile, gentili","adj. kind, courteous","gentile, gentili"
