"tramonto","m. sunset","tramonto"
"pubblico, pubblica","public, state","pubblico, pubblica"
"dettaglio","m. detail","dettaglio"
"affaticato, affaticata","tired","affaticato, affaticata"
"fondamentale, fondamentali","fundamental, basic","fondamentale, fondamentali"
"stesso, stessa","same, very, (after refl. pron.) -self","stesso, stessa"
"farmi parlare","let me speak","farmi parlare"
"differenziare","to differentiate; avere differenziato","differenziare"
"indimenticabile, indimenticabili","unforgettable","indimenticabile, indimenticabili"
"spazzare","to sweep (up); avere spazzato","spazzare"
"ricercatore","m./f. researcher","ricercatore"
"aggiudicarsi","to win, be awarded; essersi aggiudicato","aggiudicarsi"
"valutazione","f. valuation, assessment","valutazione"
"funzionante, funzionanti","functioning","funzionante, funzionanti"
"assegnare (a)","to assign (to); avere assegnato","assegnare (a)"
"disuguaglianza","f. inequality","disuguaglianza"
"fatica","f. hard work, toil","fatica"
"mostrare","to show, demonstrate; avere mostrato","mostrare"
"sufficiente, sufficienti","sufficient, enough","sufficiente, sufficienti"
"depresso, depressa","depressed","depresso, depressa"
"esasperazione","f. exasperation","esasperazione"
"tensione","f. tension","tensione"
"provetto, provetta","skilled, experienced","provetto, provetta"
"manifestazione","f. expression, demonstration","manifestazione"
"notturno, notturna","night","notturno, notturna"
"cedere","to give in, give way; avere ceduto","cedere"
"cifra","f. sum, figure","cifra"
"faticare per fare qc","to struggle to do sth","faticare per fare qc"
"abbandonare","to abandon, desert; give up; avere abbandonato","abbandonare"
"deludere","to disappointl avere deluso","deludere"
"ammazzarsi","to kill each other; to kill o.s.; essersi ammazzato","ammazzarsi"
"sostegno","m. support","sostegno"
"sensazione","f. feeling, sensation","sensazione"
"scotto, scotta","overcooked, overdone","scotto, scotta"
"pratica","f. practice, (pratical) experience, training","pratica"
"volontà","f. will","volontà"
"affrontare","to face, confront; avere affrontato","affrontare"
"collegamento","m. connection","collegamento"
"basarsi","to be based on; essersi basato","basarsi"
"generosità","f. generosity","generosità"
"gestione","f. management","gestione"
"emozione","f. emotion","emozione"
"anima","f. soul","anima"
"concentrarsi","to concentrate, focus on; essersi concentrato","concentrarsi"
"colmo (di), colma (di)","full (of)","colmo (di), colma (di)"
"capacità","f. capacity; ability, capability","capacità"
"individuare","to identify, pick out; avere individuato","individuare"
"premiare","to give a prize to, award a prize to; avere premiato","premiare"
"massacrante, massacranti","exhausting, gruelling","massacrante, massacranti"
"conquistare","to conquer, win, gain; avere conquistato","conquistare"
"scoraggiare","to discourage; avere scoraggiato","scoraggiare"
"assoluto, assoluta","absolute","assoluto, assoluta"
