"andarci di mezzo","v. (essere coinvolto con consequenze spiacevoli) to be (negatively) involved, pay the price, get dragged into it"
"andarci piano (con qualcuno)","v. (comportarsi con cautela) to go easy, not overdue it"
"andarsene","v. (andare via con valore intensivo) to go away; leave"
"aspettarsela","v. to expect it, see it coming"
"avercela (con qualcuno)","v. to hold a grudge (against), have it in (for); to be angry"
"averne (abbastanza)","v. to be fed up, have had enough"
"arrabbiarsi"
"capirla",""
"cavarsela","v. to get by, to manage; to handle something (successfully); get away with"
"entrarci","v. to have sth do to with, be relavent; to be about"
"farcela","v. to manage, succeed"
"imbattersi (in)","v. to run (into), bump (into), come across"
"importarsene",""
"mettercela tutta","v. to put all of o.s. into sth; to do your very best, give it all you've got"
"metterci","v. (personale: tempo, sforzo) to take"
"pensarla",""
"prendersela","v. to take offense; blame, take in out (on); essersela preso"
"starci",""
"segnarsela (un torto)"= appuntare qualcosa / prendere nota
"spuntarla","v. (vincere qualcosa) to make it, get it; win; avere spuntato"
"tenerci"
"volerci","v. (impersonale: tempo, risorsa) to take"
"fiammifero","n. m. (fuoco) match"
"tuffatore","n. m. diver"
"schizzo"
"giudice","n. m. judge"
"espressione","n. f. expression"
"abilità"
"capacità"
"fare scalo (a)"
"le tratte breve"
"brusco","adj. curt"
"la concessionaria"
"mecchanismo"
"il mecchanismo di apertura"
"fatalista"

