"l'abbonato","m. <f. abbonata> (subscriber) chi usufruisce di un abbonamento"
"l'abbonamento","m. (subscription) contratto per cui si ha il diritto di ricevere un servizio"
"abbordabile","agg. (accessibile: prezzo, spesa) accessibile, fig. (approachable: uomo, personaggio) avvicinabile"
"abbordare","vt. (nave) to board, capture; to accost, approach"
"abbracciare","vt. (persona) to embrace, hug; fig. wrap, surround"
"l'acciaio","m. (steel) lega composta da ferro e da una quantità di carbonio inferiore all'1,9%"
"l'aggiornamento","m. (update) revisione, completamento in base alle conoscenze più recente | modifica, aggiunta; (adjournment, recess) dilazione, rinvio "
"aggiornare","vt. to update; (i prezzi) to revise; to postpone, put off"
"aggiornarsi","vr. to keep o.s. up to date"
"aggirare","vt. (evitare) to bypass, circumvent, get around; avere aggirato"
"aggiudicarsi","vr. (premio, merito) to win, be awarded; essersi aggiudicato"
"aggrapparsi (a)","vr. to cling (to); hold on (to); essersi aggrapato"
"alimentare","vt. (nutrire) to feed, nourish, fuel; fig. to incite, provoke; avere alimentato"
"ambientarsi (in)","vr. (abituarsi ad ambiente nuovo) to settle down, settle in | essersi ambientato"
"ammettere la sconfita","v. to admit defeat"
"ammirare","vt. to admire, appreciate; avere amirato"
"l'apprendista","m. e f. <m. pl. apprendisti> (apprentice; helper) chi si avvia all'apprendimento di un mestiere"
"avviare","vt. to send, refer; to start, launch; avere avviato"
"l'apprendimento","m. (learning) acquisizione di nuove conoscenze"
"approfondire","vt. <approfondisco> fig. (rendere (più) profondo: divario) to deepen; fig. (studiare a fondo: materia, tecnica) to go into great depth"
"arenarsi","vr. (nave) to run aground; fig. to come to a standstill; essersi arenato"
"arrangiarsi","vr. (cavarsela) to make do; manage; essersi arrangiato"
"arrugginire","vt. to rust; avere arrugginito; vi. to rust, get rusty; essere arrugginito"
"asciutto","adj. dry; curt, abrupt; (corpa) lean, thin"
"assegnare un compito/una mansione","v. to assign a task"
"assegnare","vt. (compito, mansione) to assign, allocate; avere assegnato"
"assumere il ruolo (di)","v. to assume the role (of), take the job (of)"
"assumere","vt. to take on, assume; employ, hire; avere assunto"
"l'atteggiamento","m. (attitude, demeanor) modo di atteggiare la persona, di disporsi; (behavior) comportamento, espressione"
"l'attrattiva","f. (attraction) capacità di attrarre"
"attrattivo","adj. attractive"
"autoironico","adj. self-mocking"
"azzardato","adj. rash, risky"
"la bancarella","f. (stall, stand) carretto o banco di vendita all'aperto di merci varie"
"il bancario","m. <f. bancaria> (bank employee) chi è impiegato in una banca"
"il banchiere","m. (banker) chi esercita l'attività bancaria"
"il barbiere","m. (barber) chi per mestiere taglia e rade la barba e i capelli dell'uomo"
"bocciare","vt. to reject; (qualcuno) to fail, flunk; avere bocciato"
"la bomboletta","f. <diminutivo di bombola> (small cylinder; spray can) recipiente di metallo a forma cilindrica destinato a contenere gas compressi o liquidi"
"il braccialetto","m. <diminutivo di bracciale> (small bracelet; wristlet) ornamento, per lo più prezioso, a forma di cerchio, che si porta al polso"
"buffo","adj. funny, comical; odd, goofy"
"il gufo","m. (owl) correntemente, rapace notturno degli Strigiformi"
"bugiardo","adj. (falso, insincero) lying, false"
"candidarsi","vr. to nominate o.s. as a candidate, apply; essersi candidato"
"il capestro","m. (noose) fune dotata di cappio scorsoio usata per impiccare; (halter) fune o cavezza con cui si legano le bestie"
"la cappotta","f. (convertible hood) telo impermeabile o altra struttura flessibile per coprire auto, moto, barche"
"la carta d'imbarco","f. (boarding pass) documento rilasciato dopo il check-in  che il passeggero deve consegnare al momento dell'imbarco"
"cartaceo","adj. (di carta) paper, printed"
"il catrame","m. (tar, coal tar) sostanza nera, vischiosa, prodotta nella distillazione secca dei carboni fossili o del legno viene usato come impermeabilizzante"
"centellinare","vt. (sorseggiare) to sip; to savor; avere centellinato"
"cercare in lungo e in largo","v. to search far and wide"
"la ciabatta","f. (sandal, flip-flip) pantofola, pianella; (flat bread) tipo di pane croccante; (power strip) dispositivo di forma piatta e allungata con prese elettriche multiple"
"la multipresa","f. (powerstrip) dispositivo con prese elettriche multiple"
"il ciccione","m. (fatty) colloq. persona molto grassa"
"la cifra","f. (numeral) uno dei segni combinando i quali si può scrivere qualsiasi numero naturale; (figure, sum) numero | somma di denaro; (code, cipher) codice segreto utilizzato per rendere un messaggio inintelligibile"
"la coda","f. (tail) prolungamento della colonna vertebrale; parte posteriore o estremità terminale di qlco; (queue, line) fila ordinata di persone che aspettano il loro turno"
"cogliere","vt.  (fiore, frutto) to pick, gather; fig. (momento, opportuno, occasione) to seize, take, grasp; avere colto"
"il colloquio","m. (converation, talk) abboccamento o conversazione fra due o più persone | dialogo per raggiungere un'intesa; (interview) una fase della selezione dei candidati a una determinata mansione nell'ambito del lavoro"
"il colore","m. (color) la percezione visiva delle varie radiazioni elettromagnetiche; sostanza usata per dipingere, tingere, e sim.; fig. (character) aspetto, carattere"
"il colpevole","m. (culprit) che è in colpa, che è responsabile di una colpa o di un reato"
"la colpa","(fault, blame, guilt) responsabilità conseguente a un'azione, a un comportamento che contravviene a una norma morale, etica, religiosa, o giuridica"
"compartimentare","vt. to compartmentalize, partition; avere compartimentato"
"il compito","m. (job, task) lavoro da eseguire | incarico, dovere, mansione; (homework, assignment) esercizio scolastico da svolgere a casa o a scuola"
"il confine","m. (border) linea che circoscrive una proprietà immobiliare o il territorio di uno Stato o di una regione; anche fig. (boundary, limit) termine, fine, limite"
"consapevole (di)","adj. aware (of), conscious (of)"
"consegnare","vt. (dare, riconsegnare) to give, hand over; devliver, drop off; avere consegnato"
"consigliare a qn di fare qc","v. to advise sb to do sth"
"la controtendenza","f. (opposing trend, countertrend) tendenza che si oppone a quella dominante"
"convincere qu di qc","to convince sb of sth"
"convincere","vt. (persuadere) to convince, persuade; avere convinto"
"convincersi (di)","vr. to convince o.s. (of); essersi convinto"
"la copertina flessibile","f. (libro) flexible binding; softcover"
"la copertina rigida","f. (libro) rigid binding; hardcover"
"il cordolo","m. (curb) lieve rialzo del piano stradale in cemento o altro materiale che delimita i sensi di marcia o le corsie preferenziali"
"la cornice","f. (frame) telaio di legno o altro materiale dove s'incastrano quadri o specchi | (cornice) membratura sporgente utilizzato di un edificio per inquadrare finestre o porte; ciò che delimita, abbellisce o caratterizza qlco."
"il crimine","m. (crime) illecito penale"
"le crisi","f. pl. <inv> (seizure, fit) accesso, fase acuta di una malattia | periodo di tempo in cui si verifica una crisi; (crisis) fase della vita particolarmente difficile da superare e suscettibile di sviluppi più o meno gravi"
"la cronaca","f. (chronicle) correntemente, resoconto, descrizione particolareggiata di fatti o avvenimenti; (news, column) rubrica giornalistica sugli eventi nazionali e internazionali di maggior interesse"
"cucire","v. (also fig.) to sew; avere cucito"
"il cuoio","m. (leather) pelle degli animali resa inalterabile con la concia:"
"dannoso","adj. harmful"
"darsi da fare (a)","v. to get busy, to make efforts"
"la decappottabile","f. (convertible) che si può decappottare"
"la decisione","f. (decision) deliberazione, risoluzione, scelta"
"la dedica","f. (dedication) il dedicare | frase scritta con cui si offre o si destina espressamente a qlcu. un'opera, un ritratto, o una fotografia"
"la degenza","f. (a stay in hospital) periodo di permanenza di un ammalato in letto"
"la degustazione","f. (sampling, tasing) il degustare | assaggio di cibi, olii o altri prodotti"
"la delicatezza","f. (delicacy) caratteristica di chi (o di ciò che) è delicato | (frailty) fragilità; (gentleness) gentilezza di sentimenti, di maniere | discrezione | (tactfulness) riguardo, tatto"
"di tanto in tanto","adv. (ogni tanto) occasionally, from time to time, now and then"
"il dinosauro","m. (dinosaur) ogni rettile estinto dei Dinosauri"
"disattivare","vt. to deactivate, defuse; to disable"
"la discesa","f. (descent) il discendere, lo scendere | (downhill) movimento verso il basso | fig. diminuzione, calo; (slope) china, pendio"
"in discesa","adv. (downhill) che scende"
"il disegno","m. (drawing) rappresentazione con linee e segni di figure immaginate o di oggetti reali; (design) progetto per la realizzazione o la produzione di qlco.; fig. intenzione, proposito, progetto"
"diverso da","prep. other than; different from"
"divulgare","vt. to divulge, disclose; to popularize; avere divulgato"
"ennesimo","adj. nth; fig. umpteenth"
"l'equipaggio","m. (crew: boat, airplane) insieme delle persone che provvedono alla guida e al funzionamento di vari mezzi di locomozione"
"esilarante","adj. hilarious; exhilarating"
"espirare","vi. to breathe out, exhale; avere espirato"
"evacuare","vt. to evacuate, empty out, (dal corpo) expel; vi. to evacuate, defecate; avere evacuato"
"fai da te","n. m. <inv> do-it-youself"
"fare a meno di","v. do without"
"fare apposta","vt. to do on purpose"
"fare un colloquio","vi. (lavoro) interview"
"la fatica","f. (effort) sforzo che si sostiene per compiere qlco. di particolarmente impegnativo | (tiredness, fatigue) la stanchezza che ne deriva | (labor, toil) lavoro fisico o mentale che costa sforzo e stanca; fig. pena, difficoltà" 
"il fenomeno","m. (phenomenon) tutto ciò che può essere osservato e studiato attraverso una conoscenza diretta; colloq. persona o cosa straordinaria"
"la ferramenta","f. <inv> elemento metallico di un manufatto; (hardware) assortimento di oggetti, arnesi e sim. di ferro"
"il ferramenta","m. <inv> (hardware store) negozio in cui si vendono tali oggetti fatti di ferro"
"la fila","f. (line) insieme di persone o cose disposte una dopo l'altra | (row) in un teatro o in un cinema, serie trasversale di poltrone; serie continua"
"finire","vt. to finish; avere finito; to finish; vi. to end (up); essere finito"
"fiutare","vt. to smell or sniff; avere fiutato"
"la folla","f. (crowd) quantità di gente riunita insieme; (mob) gente, massa; (multitude) gran numero di cose"
"la follia","f. (madness, insanity, craziness) comunemente, stato di alienazione mentale, pazzia, demenza | (folly, foolishness) mancanza di raziocinio, sconsideratezza; atto sconsiderato, temerario, avventato"
"la foschia","n. f. (mist, fog) sospensione nell'aria di goccioline d'acqua microscopiche, che riduce la visibilità;"
"frizzante","adj. (di vino) fizzy, sparkling; (di persona) effervescent, bubbly)"
"la funzione","f. (function) attività determinata da mansioni specifiche connesse a una carica, a un ufficio e simile; (role) ruolo, valore, compito, finalità"
"girare in lungo e in largo","v. to go far and wide"
"gironzolare","vi. (in modo pigro) to wander about; loiter; avere gironzolato"
"giurare","vt. to swear, vow; avere giurato"
"la grandine","f. (hail) precipitazione violenta dei pezzi di ghiaccio | l'insieme dei pezzi di ghiaccio caduti durante tale precipitazione"
"il grembiule","m. (apron, coverall) indumento, con o senza pettorina, che ricopre la parte anteriore del corpo; si lega attorno alla vita e si indossa sopra agli abiti per proteggerli"
"imbarcare","v. to board, load; fig. to involve, entangle"
"imbattersi (in)","v. (trovare per caso) to run (into), bump (into), come across"
"imbracciare","vt. (fucile, grande cosa) to shoulder, grasp; avere imbracciato"
"l'imbroglio","m. (tangle) viluppo, groviglio; situazione confusa o difficile; fig. (trick) truffa, frode, raggiro, inganno"
"imbucare","vt. to post (British), mail (US); avere imbucato"
"impantanarsi (il pantano)","vr. to get stuck in a swamp; fig. to get bogged down; essersi impantanato"
"impantanarsi nei dettagli","v. to get bogged down in the details"
"impiegare","vt. (usare, utilizzare) to use, employ; (metterci: quantità di tempo) to take; avere impiegato"
"imprevedibile","adj. unpredictable, unforseeable"
"impugnare","vt. (pistola, piccola cosa) to grasp, seize; avere impugnato"
"indesiderato","adj. (cattivo, malevolo) unwelcomed, undesired"
"l'indizio","m. (evidence) segno o situazione per mezzo dei quali è possibile ricostruire un fatto già accaduto o prevederne uno con fondatezza; (sign, clue) segnale, traccia"
"indubbio","adj. (certo, sicuro) undoubted, certain, sure"
"l'ingranaggio","m. (gear) meccanismo che trasmette il movimento per mezzo di ruote dentate"
"innervosirsi","vr. (rendere nervoso) to get nervous; essersi innervosito"
"insipido","adj. tasteless, insipid; essersi innervosito"
"inspirare","vt. to inhale; to breathe in; avere inspirato"
"interagire","vi. <interagisco> to interact; avere interagito"
"l'intrattenimento","m. (entertainment) divertimento, passatempo"
"l'intreccio","m. (braid, weave) l'intrecciare, l'intrecciarsi; (entanglement) complesso di elementi intrecciati | garbuglio; (plot) complesso dei fatti che, nell'ordine scelto dell'autore, costituiscono la trama di romanzi, drammi, film, intrigue | trama, argomento"
"invadente","adj. (invasivo) instrusive, obtrusive"
"l'ipocondriaco","m. <f. -a> (hypochondriac) che (o chi) è affetto da ipocondria"
"ironico","adj. ironic, ironical"
"l'isolamento","m. (isolation) condizione di chi vive appartato o di chi è isolato; (insulation) materiali usati allo scopo di ostacolare il propagarsi di onde sonore, o il passaggio del calore e della corrente elettrica"
"l'esigenza","f. (necessity, requirement) necessità | pl. (need) bisogno, richiesta | pl. (demand) pretese"
"la lavastoviglie","f. <inv> (dishwasher) macchina per il lavaggio automatico delle stoviglie"
"le stoviglie","f. pl. (dishes, crockery, tableware) ciascun pezzo del vasellame per uso di cucina e di tavola"
"il lucchetto","m. (padlock) serratura metallica mobile, con gambo diritto o ricurvo da infilare in occhielli, che si applica a bauli, valigie, porte"
"il malaffare","n. m. (ill repute, ill fame) nel linguaggio giornalistico, insieme di affari illeciti"
"la mancia","f. (restaurant tip) sovrappiù sul compenso dovuto che si dà a chi presta un servizio"
"il manico","m. (handle neck) parte di un oggetto o di uno strumento, che serve per sollevarlo o per maneggiarlo"
"il mansionario","m. job description"
"la mansione","f. duty, task"
"il manuale","m. manual, handbook"
"mensile","adj. monthly"
"la mensola","f. wall shelf; cantilever"
"mescere","vt. (solo per vino) to pour (out)"
"mescolare","vt. to mix, stir, blend, shuffle; avere mescolato"
"il mistero","m. (giallo, segreto) mystery, secret, enigma"
"mollare tutto","v. to drop everything"
"il motopeschereccio","m. motor fishing boat"
"il mucchio","m. heap, pile"
"il nastro trasportatore","m. conveyor belt"
"il nastro","m. (fiocco) ribbon; tape"
"la nebbia","f. (foschia) fog"
"noioso","adj (fastidioso, tedioso) boring; tedious, dull"
"non (ne) avere la più pallida idea","v. to not have the slightest idea (about it)"
"l'omaggio","m. homage, tribute; freebie"
"l'opzione","f. option"
"organizzativo","adj. (aziendale) organizational"
"ossia","conj. (ovvero, in oltre parolle) that is, to be precise; or rather"
"l'ostacolo","m. obstacle, hurdle"
"l'ottimismo","m. optimism"
"il palato","m. (gusto) palate"
"il paragone","m. (comparazione, confronto) comparison"
"il pensionato","m. pensioner, retiree; hostel, boarding house"
"perdere di vista","v. to lose sight (of), lose track (of)"
"permaloso","adj. (irritabile, suscettibile) thin-skinned, touchy"
"il permesso","m. permission, consent; clearance"
"persino","adv. (perfino) even, just"
"il peschereccio","m. (barca da pesca) fishing boat; trawler"
"il pessimismo","m. pessimism"
"pestare","vt. (schiacciare) to crush, grind; (calpestare) to trample, step on; avere pestato"
"il pisolino","m. snooze, nap"
"la pista","f. (circuito, tracciato) track, course"
"prendere in braccio","v. to take into one's arms"
"la preoccupazione","f. preoccupation, worry, concern"
"prestante","adj. (forma del corpo) handsome, well-built, good-looking"
"il prestigio","m. prestige, status"
"previsto","adj. expected, planned, scheduled"
"la priorità","f. <inv> priority"
"produrre","vt. (fabbricare) to produce, manufacture, make; yield, bear; avere prodotto"
"progredire","vi. to progress; (persona) essere progreditol (cosa) avere progredito"
"la prolunga","f. extension cord"
"il proposito","m. purpose, intention; aim"
"il proprietario","m. owner, proprietor, landlord"
"provare a scroprire il colpevole","to try to discover the culprit"
"la pubblicità","f. <inv> publicity; advertising; advertisement"
"il pudore","m. modesty; shame; discretion"
"il puzzo","m. smell, stink, stench"
"il raccolto","m. crop, harvest, yield"
"la ragione","f. (motivo) reason, motive; (diritto, giusto) right"
"rammarico","n. m. regret"
"rapimento","n. m. kidnapping, abduction"
"rasoio","n. m. razor"
"rassegna","n. f.  (esercito) inspection"
"redattore, -trice","editor; (articolo) writer; (dizionario) compiler"
"regista","n. m. (film) director, (TV) producer"
"relazione","n. f. connection; relationship"
"reputazione","n. f. reputation; good name"
"restituire","vt. <restituisco> (rispedire, rimborsare) to return, give back; avere restituito"
"rete","n. f. net, mesh"
"riassunto","n. m. summary, abstract"
"rimpianto","n. m. regret"
"rinforzare","vt. to strengthen, reinforce; fig. to intensify; avere rinforzato; vi. to strengthen, intensify; essere rinforzato"
"rinunciare","vi. to renounce, give up, forgo; avere rinunciato"
"risparmiare tempo","v. to save time"
"risparmiare","vt. (i soldi, tempo) to save, save up; avere risparmiato"
"rotta","(percorso, tragitto) course, route"
"rubare","vt. to steal, commit a theft; avere rubaro"
"salita","n. f. climb, ascent; uphill"
"salute mentale","n. f. mental health"
"sapere da che parte","to know which side, know whose side"
"sarcastico","n. m. sarcastic"
"sbarazzarsi (di)","vr. (liberarsi) to get rid of; essersi sbarazzato"
"sbarcare","vt. (merce) to unload; to disembark, land"
"sbirciare dalla finestra","to peek from the window"
"sbirciare","vt. to peep or peek (at); avere sbirciato"
"scacciare","vt. to drive away, chase away; to throw out, turn out; avere scacciato"
"scadenza","n. f. expiration, expiry; deadline"
"scaffale","n. m. shelf; bookshelf, bookcase"
"scaricare","vt./vi. (svuotare) to unload, discharge; to download; avere/essere scaricato"
"scarso","adj. scarce, poor, weak"
