"c'","(before the vowels e or i) apocopic form of ci","c'"
"centro commerciale, centri commerciali","m. shopping mall","centro commerciale, centri commerciali"
"ci","to there, here, there","ci"
"cos'","(sometimes before a vowel or an h) apocopic form of cosa","cos'"
"d'","(sometimes before a vowel or an h) apocopic form of di","d'"
"straccio, stracci","m. rag","straccio, stracci"
"vocabolario, vocabolari","m. dictionary; vocabulary","vocabolario, vocabolari"
"gomma, gomme","f. rubber, eraser","gomma, gomme"
"medico, -a","adj. medical","medico, -a"
"imbuto, imbutori","m. funnel; bottleneck, chokepoint","imbuto, imbutori"
"medicina, medicine","f. medicine","medicina, medicine"
"medico, medici","m. doctor","medico, medici"
"partito, -a","adj. left, departed","partito, -a"
"partito, partiti","m. political party","partito, partiti"
"peccato, -a","adj. sinful; regrettable","peccato, -a"
"peccato, peccati","m. sin, shame, pity","peccato, peccati"
"scheletro, scheletri","m. skeleton; frame, frameword","scheletro, scheletri"
"scherzo, scherzi","m. joke, prank, trick","scherzo, scherzi"
"schiaffo, schiaffi","m. slap, smack","schiaffo, schiaffi"
"schienale, schienali","m. backrest","schienale, schienali"
"pisello, piselli","m. pea","pisello, piselli"
"vuoto, -a","adj. empty","vuoto, -a"
"vuoto, vuoti","m. void, empty space, gap","vuoto, vuoti"
"frase, frasi","f. sentence","frase, frasi"
"semaforo, semafori","m. traffic light, stoplight","semaforo, semafori"
"spazzolino, spazzolini","m. toothbrush","spazzolino, spazzolini"
"spicchio, spicchi","m. clove; segment; piece","spicchio, spicchi"
"stendino, stendini","m. drying rack; clothes line","stendino, stendini"
"straniera, straniere","f. foreigner","straniera, straniere"
"straniero, -a","adj. foreign; strange","straniero, -a"
"straniero, stranieri","m. foreigner","straniero, stranieri"
"collega, colleghe","f. colleague","collega, colleghe"
