source,target,source example,target example,source language,target language,source segment,url,comment
"pool","piscina","Lightning hit our pool three years ago.","Un fulmine ha colpito la piscina 3 anni fa.","en","it","","","pool, vasca"
"security","sicurezza","Real security, security checks, security watch, security clearance.","La sicurezza reale, i controlli di sicurezza, la guardia di sicurezza, lo sdoganamento della sicurezza.","en","it","security, neighborhood, development, strengthened, settle, disposed, skeptical, involve","https://classroom.italki.com/r/8111385678","protezione, cauzione"
"a circa","about","Stimo a circa cinque chilometri dall'osservatorio.","I'd estimate about three and a quarter miles from the observatory.","it","en","","","to around, to approximately"
"a fondo","thoroughly","Certamente, esamineremo la questione a fondo.","We shall, of course, look into the matter thoroughly.","it","en","","",""
"a malapena","barely","Posso a malapena ancheggiare sulla spiaggia.","I can barely waddle over to the beach.","it","en","","","hardly, scarcely"
"a malincuore","reluctantly","Così ho preso il lavoro, anche se a malincuore.","So I took the job, however reluctantly.","it","en","","","unwillingly, grudgingly"
"a metà","halfway","Sarai eliminata a metà della passerella.","You will be eliminated halfway down the catwalk.","it","en","","",""
"a metà di","in the middle of","Sono a metà di un interrogatorio.","I'm in the middle of an interrogation.","it","en","","",""
"a mio agio","comfortable","Equilibrava tutte queste nuove esperienze e mi faceva sentire a mio agio.","He balanced out all these new experiences and he made me feel comfortable.","it","en","","","at ease, at home"
"a parole mie","in my own words","Ve lo racconterà lui a parole mie.","He'll tell you in my own words.","it","en","","","my words, ..."
"a partire da","from","Offre piazzole a partire da €24 incluso due persone, case mobili a partire da €40 incluso 2 persone, piazzole camper stop a partire da €15.","It offers campsites from 24€ including access for 2 people, mobile house from 40€ including access for 2 people, areas for campers from 15 €.","it","en","","","as of, starting with"
"a prescindere da","regardless of","Quindi a prescindere da cosa indossi, non fa alcuna differenza.","So regardless of what he's wearing, it doesn't make any difference.","it","en","","https://classroom.italki.com/r/2122345678","apart from, aside from"
"a quasi","to almost","Hanno tagliato i fondi a quasi un niente.","They've cut funding to almost nothing.","it","en","","","to nearly, to close"
"a riguardo","about it","Scoprirò quello che posso a riguardo.","I'll find out what I can about it.","it","en","","","in this regard, on that"
"a tentoni","blindly","Sembrerebbe che la nuova amministrazione abbia una strategia chiara e precisa alle spalle; ciò nonostante, su alcuni argomenti pare quasi che Trump stia procedendo un po' ""a tentoni"", reagendo giorno per giorno ai fatti che si verificano.","It looks like the new administration is backed by a crispy and definite strategy; however, on some topics it seems like Trump is proceeding blindly, just reacting to whatever it happens.","it","en","","","gropingly, clumsily"
"a un tratto","suddenly","Non dovrei dire a un tratto.","Rather, I shouldn't say suddenly.","it","en","","","at once, at a stretch"
"a voce alta","aloud","Leggi questo a voce alta, por favor.","Read this aloud, por favor.","it","en","","https://classroom.italki.com/r/6359326278","out loud, loudly"
